source	line	text
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	83	- Use grid or flex layouts for columns and alignment.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	84	- Avoid absolute positioning unless required.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	85	- Use utility classes for spacing (`p-*`, `m-*`, `gap-*`, etc.).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	136	        - ensure-single-h1: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	47	- Use top-level headings (`#`) to name the file purpose.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	48	- Use second-level headings (`##`) for section groups (for example, `## Goals`, `## File Summary`, `## Agent Tasks`).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	49	- Use third-level headings (`###`) only when subdividing known sections.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	50	- Use bullet points or tables for enumerated items.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	51	- Avoid overloading a single section with too many nested points — prefer separation.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	52	- Use fenced code blocks with language markers (for example, md, python, json, bash) when instructing agents.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	67	- Avoid ambiguous section headers like "Stuff", "Etc", or "Misc".
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	70	- Prefer explicit formatting over implied meaning — avoid AI confusion.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	71	- Ensure code examples are wrapped in triple backticks with proper language markers.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	75	- Use consistent Markdown heading hierarchy.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	77	- Use task lists (`- [ ]`) when describing multi-step behaviors for agents.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	78	- Avoid raw HTML inside `.md` unless unavoidable.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	80	- Prefer unique headings in plan/phase documents: apply domain + purpose prefixes (for example, "AI UI Phased Plan") to reduce duplicate anchor clusters. Preserve a single generic template (`docs/agents/step_template.md`) as canonical source of un-prefixed headings.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	87	- Never delete `.md` files unless explicitly instructed.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	352	- Prefer consistent table alignment (one space padding around pipes) for stable diffs.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	353	- Use comment markers for automation instead of raw HTML blocks when possible.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	360	- Use lowercase, kebab-case names (for example, `metrics-ui-standards.md`).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-markdown-authoring.md	362	- Use relative links and stable anchors.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-mission-parameters.md	65	- Ensure high-quality, maintainable code.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-mission-parameters.md	98	- Do not introduce secrets or make external network calls unless expressly requested.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-mission-parameters.md	99	- Prefer incremental, reversible changes; avoid risky, repo-wide refactors without tests.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-mission-parameters.md	120	    - Use asterisk bullets for unordered lists.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-mission-parameters.md	123	    - Prefer idempotent, test-backed changes; document assumptions if any.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-monkey-patching.md	41	- Prefer dependency injection, adapters, feature flags, or upstream fixes over monkey patches.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-monkey-patching.md	52	- Use `--strict` to disable regex fallback and fail on parse errors for high signal.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-monkey-patching.md	187	        - ensure-inventory-entry: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-monkey-patching.md	188	        - ensure-tests-cover: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-monkey-patching.md	189	        - ensure-telemetry: {metrics: monkey_patch.activations, logger: true}
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-monkey-patching.md	190	        - ensure-expiry-plan: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	32	- Prefer structured, deterministic responses that downstream tooling can parse.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	41	- Use lightweight formatting (bullets, tables, YAML) unless richer output is required.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	59	- Prefer verifiable commands (`pytest`, `ruff`, `mypy`) over prose claims.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	80	- Limit decomposition to the sections being modified.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	82	- Ensure each new module ships with unit tests, docstrings, and updated documentation.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	159	        - ensure-context: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	161	        - ensure-acceptance-criteria: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-prompt-engineering.md	163	        - ensure-structured-output: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	39	- Enforce Ruff formatting and linting (`ruff format`, `ruff check --fix`) with repo configuration files.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	55	- Use data containers (`dataclasses.dataclass`, `typing.NamedTuple`, or Pydantic models) for structured payloads.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	57	- Avoid circular imports by pushing integration glue to `__main__` or dedicated wiring modules.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	87	- Prefer `async def` for FastAPI routes or I/O-heavy orchestrators.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	122	- Use the standard library `logging` module; never use `print()` in runtime paths.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	149	- Document default values and override mechanisms in README or standards.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	175	- Pin minimum versions in CI to expose breaking changes early; avoid blanket version upper bounds unless mandated by security policies.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	221	- Ensure CI workflows mirror local commands; update pipeline definitions when adding new required validation steps.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	289	        - ensure-docstrings: [module, public-classes, public-functions]
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	290	        - ensure-type-hints: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	293	    - ensure-async-fastapi:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	296	    - ensure-logging:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	299	    - ensure-config-secrets:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	302	    - ensure-complexity:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-python-engineering.md	306	    - ensure-sqlite-safety:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	25	Use this document as the single source of truth for how Repo Studios projects are structured, validated, and kept in sync with automation. The guidance applies to all code and documentation inside the project workspace unless an approved override exists in `docs/standards/project/`.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	72	- Prefer installing Git hooks with `make install-hooks` for anchor and slug hygiene.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	81	- Avoid global mutable state and hardcoded paths; rely on typed settings objects and dependency injection.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	104	Use these commands locally before opening pull requests to prevent CI churn.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	141	        - ensure-commands-run: ["pytest", "ruff check", "mypy"]
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	142	        - ensure-docs-updated:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	147	        - ensure-anchor-check: true
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-operating-standard.md	148	    - ensure-global-standards
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	25	Use this guide to prevent repeated mistakes, apply pre-approved solutions, and capture new recurring issues with precise remediation steps. Agents may append to this document when a new recurring issue emerges and a fix can be clearly defined.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	31	- Prefer Make targets for validation: `make qa` (runs lint, type-check, tests).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	32	- Never hardcode secrets or tokens; read from environment variables such as `METRICS_API_TOKEN` or `INTERNAL_API_KEYS`.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	34	- Use `api.server.get_db_path()` (or the injected dependency) instead of hardcoding database paths.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	58	* Use clear function or variable names (for example, `convert_to_inches` not `x`).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	61	* Use logging instead of `print` for production paths.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\project\std-project-python-instructions.md	62	* Use list comprehensions where appropriate.
